player_id,player_name,club_id,start_date,end_date,manager_id,manager_name,start_value,peak_value,end_value
195488,Paulo Gazzaniga,931,2022-01-08,2022-08-23,31,Marco Silva,3000000,2000000,2000000
46478,Ragnar Sigurdsson,931,2017-01-08,2017-01-08,60,Slavisa Jokanovic,6000000,,6000000
206040,Raúl Jiménez,931,2024-01-24,2024-03-16,31,Marco Silva,6000000,,6000000
34349,Richard Stearman,931,2016-01-09,2016-01-09,60,Slavisa Jokanovic,1500000,,1500000
735571,Rodrigo Muniz,931,2022-01-08,2024-03-16,31,Marco Silva,3000000,10000000,10000000
29006,Ross McCormack,931,2016-01-09,2016-01-09,60,Slavisa Jokanovic,7000000,,7000000
202886,Ruben Loftus-Cheek,931,2020-10-18,2021-05-23,57,Scott Parker,24000000,20000000,20000000
9335,Rui Fonte,931,2018-01-06,2018-01-06,60,Slavisa Jokanovic,6000000,,6000000
16135,Ryan Babel,931,2019-01-20,2019-02-27,12,Claudio Ranieri,5000000,,5000000
16135,Ryan Babel,931,2019-03-03,2019-05-12,57,Scott Parker,5000000,,5000000
140191,Ryan Fredericks,931,2017-01-08,2018-01-06,60,Slavisa Jokanovic,750000,2000000,2000000
392775,Ryan Sessegnon,931,2017-01-08,2018-11-11,60,Slavisa Jokanovic,500000,35000000,35000000
392775,Ryan Sessegnon,931,2018-11-24,2019-02-27,12,Claudio Ranieri,35000000,35000000,35000000
392775,Ryan Sessegnon,931,2019-03-03,2019-05-12,57,Scott Parker,35000000,,35000000
47781,Sakari Mattila,931,2016-01-09,2016-01-09,60,Slavisa Jokanovic,500000,,500000
245056,Sasa Lukic,931,2023-02-11,2023-05-28,31,Marco Silva,13000000,,13000000
245056,Saša Lukić,931,2024-01-24,2024-03-16,31,Marco Silva,10000000,,10000000
101682,Scott Malone,931,2017-01-08,2017-02-19,60,Slavisa Jokanovic,500000,,500000
3785,Scott Parker,931,2016-01-09,2017-02-19,60,Slavisa Jokanovic,1000000,500000,500000
